ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects2
6,5,65.6304347826087,12.369565217391305,0,5,5
6,6,83.25806451612904,13.387096774193548,0,6,6
6,7,29.0,16.264705882352942,0,7,7
6,8,53.84375,23.625,0,8,8
6,9,20.0,25.387096774193548,0,9,9
6,10,37.21739130434783,25.304347826086957,0,10,10
6,11,85.5,28.5,0,11,11
6,12,34.10526315789474,36.21052631578947,0,12,12
6,13,80.02777777777777,38.083333333333336,0,13,13
6,14,67.5,38.5,0,14,14
6,15,5.896551724137931,39.172413793103445,0,15,15
6,16,91.5,40.0,0,16,16
6,17,40.611111111111114,45.138888888888886,0,17,17
6,18,14.235294117647058,46.78431372549019,0,18,18
6,19,75.84848484848484,48.515151515151516,0,19,19
6,20,40.5,55.5,0,20,20
6,21,26.057692307692307,62.13461538461539,0,21,21
6,22,60.861111111111114,70.61111111111111,0,22,22
6,23,48.36363636363637,76.27272727272727,0,23,23
6,24,16.5,81.5,0,24,24
6,25,54.806451612903224,82.90322580645162,0,25,25
7,1,15.181818181818182,11.318181818181818,0,1,1
7,2,87.87179487179488,11.871794871794872,0,2,2
7,3,58.093023255813954,14.651162790697674,0,3,3
7,4,22.633333333333333,15.633333333333333,0,4,4
7,5,33.0,21.414634146341463,0,5,5
7,6,62.0,31.264705882352942,0,6,6
7,7,9.5,33.705882352941174,0,7,7
7,8,89.675,32.975,0,8,8
7,9,20.151515151515152,37.484848484848484,0,9,9
7,10,61.26470588235294,40.0,0,10,10
7,11,29.16216216216216,41.24324324324324,0,11,11
7,12,23.09375,53.3125,0,12,12
7,13,87.13513513513513,58.2972972972973,0,13,13
7,14,10.17142857142857,74.0,0,14,14
7,15,22.375,74.84375,0,15,15
7,16,75.03174603174604,84.77777777777777,0,16,16
7,17,66.38888888888889,91.13888888888889,0,17,17
8,1,53.5,6.214285714285714,0,1,1
8,2,13.823529411764707,6.823529411764706,0,2,2
8,3,63.12820512820513,11.871794871794872,0,3,3
8,4,13.625,18.15625,0,4,4
8,5,89.5,17.5,0,5,5
8,6,35.294117647058826,27.5,0,6,6
8,7,71.0,32.26470588235294,0,7,7
8,8,15.904761904761905,46.166666666666664,0,8,8
8,9,39.138888888888886,47.388888888888886,0,9,9
8,10,26.735849056603772,49.679245283018865,0,10,10
8,11,54.5945945945946,54.972972972972975,0,11,11
8,12,73.66129032258064,54.983870967741936,0,12,12
8,13,67.26315789473684,57.68421052631579,0,13,13
8,14,89.0,62.26470588235294,0,14,14
8,15,13.0,62.57142857142857,0,15,15
8,16,80.17647058823529,71.17647058823529,0,16,16
8,17,8.842105263157896,74.42105263157895,0,17,17
8,18,17.5,75.29411764705883,0,18,18
8,19,53.09090909090909,75.75757575757575,0,19,19
8,20,27.5,79.5,0,20,20
8,21,92.28571428571429,81.61904761904762,0,21,21
