ImageNumber,ObjectNumber,Children_FilterObjects1_Count,Children_IdentifyPrimaryObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
8,26,1,1,70.14285714285714,54.142857142857146,0,26
8,27,1,1,53.407407407407405,55.074074074074076,0,27
8,28,1,1,74.70833333333333,55.583333333333336,0,28
8,29,1,1,66.11111111111111,57.333333333333336,0,29
8,30,1,1,37.608695652173914,61.47826086956522,0,30
8,31,1,1,87.69565217391305,62.130434782608695,0,31
8,32,1,1,12.0,62.5,0,32
8,33,0,0,21.5,65.5,0,33
8,34,1,1,59.411764705882355,65.11764705882354,0,34
8,35,1,1,79.11111111111111,71.27777777777777,0,35
8,36,1,1,31.4,73.4,0,36
8,37,1,1,7.9523809523809526,74.80952380952381,0,37
8,38,1,1,16.5,75.5,0,38
8,39,1,1,42.0,76.0,0,39
8,40,1,1,52.11764705882353,75.41176470588235,0,40
8,41,0,0,66.5,75.5,0,41
8,42,1,1,26.6,79.7,0,42
8,43,1,1,91.8125,81.8125,0,43
8,44,1,1,51.285714285714285,83.5,0,44
8,45,1,1,64.0,85.0,0,45
8,46,1,1,5.56,89.08,0,46
8,47,1,1,17.23076923076923,89.3076923076923,0,47
8,48,1,1,53.21052631578947,91.94736842105263,0,48
8,49,1,1,73.42105263157895,92.10526315789474,0,49
9,1,1,1,64.0,5.846153846153846,0,1
9,2,0,0,82.63636363636364,9.909090909090908,0,2
9,3,1,1,4.846153846153846,11.0,0,3
9,4,1,1,66.94736842105263,19.42105263157895,0,4
9,5,0,0,79.5,22.5,0,5
9,6,1,1,89.26666666666667,25.066666666666666,0,6
9,7,0,0,91.8,28.3,0,7
9,8,1,1,34.57142857142857,29.38095238095238,0,8
9,9,1,1,47.41379310344828,36.41379310344828,0,9
9,10,0,0,71.5,38.22222222222222,0,10
9,11,0,0,84.09375,38.40625,0,11
9,12,1,1,52.827586206896555,40.55172413793103,0,12
9,13,0,0,86.42105263157895,43.89473684210526,0,13
9,14,0,0,24.08695652173913,48.391304347826086,0,14
9,15,1,1,66.5,48.22222222222222,0,15
9,16,1,1,41.421052631578945,50.10526315789474,0,16
9,17,0,0,28.26086956521739,52.34782608695652,0,17
9,18,1,1,57.81818181818182,57.27272727272727,0,18
9,19,1,1,91.14285714285714,59.333333333333336,0,19
9,20,0,0,36.84615384615385,62.53846153846154,0,20
9,21,1,1,9.5,64.5,0,21
