ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects
5,15,9.916666666666666,38.854166666666664,0,15,15
5,16,16.8,38.88,0,16,16
5,17,47.0,40.266666666666666,0,17,17
5,18,81.34615384615384,42.0,0,18,18
5,19,68.15789473684211,48.8421052631579,0,19,19
5,20,21.361702127659573,53.5531914893617,0,20,20
5,21,84.68181818181819,52.84090909090909,0,21,21
5,22,48.61290322580645,54.25806451612903,0,22,22
5,23,11.06,57.04,0,23,23
5,24,49.41509433962264,62.471698113207545,0,24,24
5,25,17.842105263157894,67.84210526315789,0,25,25
5,26,39.88636363636363,68.5909090909091,0,26,26
5,27,59.63636363636363,69.21818181818182,0,27,27
5,28,76.23809523809524,69.23809523809524,0,28,28
5,29,29.333333333333332,71.3125,0,29,29
5,30,73.61702127659575,73.48936170212765,0,30,30
5,31,52.214285714285715,77.5,0,31,31
5,32,82.95652173913044,78.56521739130434,0,32,32
5,33,20.043478260869566,80.21739130434783,0,33,33
5,34,45.32727272727273,81.83636363636364,0,34,34
5,35,33.91489361702128,83.0,0,35,35
5,36,10.976744186046512,86.4186046511628,0,36,36
5,37,81.0,85.08163265306122,0,37,37
5,38,59.03508771929825,86.15789473684211,0,38,38
5,39,71.0,88.62962962962963,0,39,39
5,40,34.193548387096776,91.90322580645162,0,40,40
5,41,44.25806451612903,91.38709677419355,0,41,41
6,1,34.0,5.777777777777778,0,1,1
6,2,10.869565217391305,7.695652173913044,0,2,2
6,3,15.604651162790697,9.86046511627907,0,3,3
6,4,49.0,11.673913043478262,0,4,4
6,5,7.321428571428571,11.964285714285714,0,5,5
6,6,68.1875,11.125,0,6,6
6,7,64.32352941176471,13.058823529411764,0,7,7
6,8,82.96078431372548,13.490196078431373,0,8,8
6,9,28.61111111111111,16.25,0,9,9
6,10,53.705882352941174,23.5,0,10,10
6,11,19.81081081081081,25.18918918918919,0,11,11
6,12,36.578947368421055,24.789473684210527,0,12,12
6,13,41.44736842105263,25.94736842105263,0,13,13
6,14,85.41304347826087,28.67391304347826,0,14,14
6,15,61.390243902439025,28.195121951219512,0,15,15
6,16,27.789473684210527,34.89473684210526,0,16,16
6,17,33.63265306122449,36.183673469387756,0,17,17
6,18,67.36363636363636,38.27272727272727,0,18,18
6,19,79.70270270270271,38.32432432432432,0,19,19
6,20,5.896551724137931,39.172413793103445,0,20,20
6,21,91.35416666666667,40.0625,0,21,21
6,22,40.58536585365854,45.19512195121951,0,22,22
6,23,14.214285714285714,47.214285714285715,0,23,23
6,24,75.74418604651163,48.81395348837209,0,24,24
6,25,55.5,51.294117647058826,0,25,25
6,26,40.31818181818182,55.54545454545455,0,26,26
6,27,88.19148936170212,61.212765957446805,0,27,27
6,28,25.868852459016395,62.52459016393443,0,28,28
6,29,48.0,65.5,0,29,29
6,30,74.09433962264151,63.56603773584906,0,30,30
6,31,60.68292682926829,70.85365853658537,0,31,31
6,32,85.2,73.5,0,32,32
6,33,48.54545454545455,76.68181818181819,0,33,33
6,34,87.875,78.0,0,34,34
6,35,16.38888888888889,81.61111111111111,0,35,35
6,36,54.62068965517241,83.20689655172414,0,36,36
6,37,89.0,87.0,0,37,37
7,1,67.82352941176471,6.823529411764706,0,1,1
7,2,5.7272727272727275,9.5,0,2,2
7,3,15.196428571428571,11.392857142857142,0,3,3
7,4,88.13725490196079,12.156862745098039,0,4,4
7,5,55.875,10.5,0,5,5
7,6,72.58823529411765,12.5,0,6,6
7,7,58.53061224489796,15.571428571428571,0,7,7
7,8,22.818181818181817,15.727272727272727,0,8,8
7,9,32.63793103448276,21.603448275862068,0,9,9
7,10,47.55555555555556,28.77777777777778,0,10,10
7,11,62.095238095238095,31.0,0,11,11
7,12,89.71428571428571,32.755102040816325,0,12,12
7,13,9.744186046511627,33.53488372093023,0,13,13
7,14,20.47457627118644,37.932203389830505,0,14,14
7,15,61.41463414634146,40.02439024390244,0,15,15
7,16,29.5,41.0,0,16,16
7,17,9.972222222222221,47.94444444444444,0,17,17
7,18,74.875,49.333333333333336,0,18,18
7,19,12.451612903225806,53.29032258064516,0,19,19
7,20,23.0,53.68421052631579,0,20,20
7,21,39.2,53.76,0,21,21
7,22,87.34482758620689,58.37931034482759,0,22,22
7,23,66.875,63.333333333333336,0,23,23
7,24,81.5,69.0,0,24,24
7,25,46.5,69.0,0,25,25
7,26,10.166666666666666,74.27777777777777,0,26,26
7,27,22.5,74.82608695652173,0,27,27
7,28,61.056603773584904,76.52830188679245,0,28,28
7,29,47.827586206896555,81.89655172413794,0,29,29
