ImageNumber,ObjectNumber,Children_DilateObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
3,37,1,37.67857142857143,80.32142857142857,0,37,37
3,38,1,56.13725490196079,87.49019607843137,0,38,38
3,39,1,33.38461538461539,88.61538461538461,0,39,39
4,1,1,57.244897959183675,7.938775510204081,0,1,1
4,2,1,82.5,10.0,0,2,2
4,3,1,41.65,13.55,0,3,3
4,4,1,15.633333333333333,18.933333333333334,0,4,4
4,5,1,72.61904761904762,21.428571428571427,0,5,5
4,6,1,56.0,23.5,0,6,6
4,7,1,81.7,31.6,0,7,7
4,8,1,40.875,33.95,0,8,8
4,9,1,70.81818181818181,34.40909090909091,0,9,9
4,10,1,57.54838709677419,35.935483870967744,0,10,10
4,11,1,28.0625,42.625,0,11,11
4,12,1,33.72727272727273,45.0,0,12,12
4,13,1,51.666666666666664,45.333333333333336,0,13,13
4,14,1,63.333333333333336,47.75757575757576,0,14,14
4,15,1,14.25,52.75,0,15,15
4,16,1,90.0,55.0,0,16,16
4,17,1,73.48484848484848,56.39393939393939,0,17,17
4,18,1,65.36363636363636,58.90909090909091,0,18,18
4,19,1,51.56666666666667,61.93333333333333,0,19,19
4,20,1,28.384615384615383,65.53846153846153,0,20,20
4,21,1,55.5,66.0,0,21,21
4,22,1,34.55172413793103,73.48275862068965,0,22,22
4,23,1,70.04347826086956,76.08695652173913,0,23,23
4,24,1,11.0,78.30952380952381,0,24,24
4,25,1,21.814814814814813,82.5925925925926,0,25,25
4,26,1,52.51724137931034,84.06896551724138,0,26,26
4,27,1,70.15789473684211,88.3157894736842,0,27,27
4,28,1,5.916666666666667,88.83333333333333,0,28,28
4,29,1,22.0,91.5,0,29,29
4,30,1,39.47826086956522,92.17391304347827,0,30,30
5,1,1,8.636363636363637,5.909090909090909,0,1,1
5,2,1,30.875,6.125,0,2,2
5,3,1,20.09090909090909,11.954545454545455,0,3,3
5,4,1,14.173913043478262,14.347826086956522,0,4,4
5,5,1,68.15151515151516,13.848484848484848,0,5,5
5,6,1,23.333333333333332,19.875,0,6,6
5,7,1,7.634146341463414,19.926829268292682,0,7,7
5,8,1,37.588235294117645,22.88235294117647,0,8,8
5,9,1,52.888888888888886,24.805555555555557,0,9,9
5,10,1,89.6923076923077,25.576923076923077,0,10,10
5,11,1,13.5,27.607142857142858,0,11,11
5,12,1,21.88888888888889,30.22222222222222,0,12,12
5,13,1,35.0,35.0,0,13,13
5,14,1,63.285714285714285,35.285714285714285,0,14,14
5,15,1,10.258064516129032,38.83870967741935,0,15,15
5,16,1,16.833333333333332,38.916666666666664,0,16,16
5,17,1,47.0,40.22222222222222,0,17,17
5,18,1,81.40625,42.0,0,18,18
5,19,1,68.125,48.875,0,19,19
5,20,1,21.392857142857142,53.5,0,20,20
5,21,1,84.64,52.88,0,21,21
5,22,1,48.68421052631579,54.68421052631579,0,22,22
5,23,1,11.066666666666666,57.06666666666667,0,23,23
5,24,1,49.43333333333333,62.63333333333333,0,24,24
5,25,1,17.875,67.875,0,25,25
5,26,1,39.84615384615385,68.61538461538461,0,26,26
5,27,1,59.61764705882353,69.23529411764706,0,27,27
5,28,1,75.94117647058823,69.94117647058823,0,28,28
5,29,1,29.344827586206897,71.34482758620689,0,29,29
5,30,1,73.53571428571429,73.53571428571429,0,30,30
5,31,1,52.285714285714285,77.5,0,31,31
5,32,1,82.64285714285714,79.14285714285714,0,32,32
5,33,1,20.0,80.2,0,33,33
5,34,1,45.3235294117647,81.8529411764706,0,34,34
5,35,1,33.964285714285715,82.96428571428571,0,35,35
5,36,1,10.96,86.4,0,36,36
5,37,1,81.0,85.13793103448276,0,37,37
5,38,1,59.0,86.13888888888889,0,38,38
5,39,1,71.0,88.6923076923077,0,39,39
5,40,1,34.1875,91.8125,0,40,40
5,41,1,44.25,91.4375,0,41,41
6,1,1,34.0,5.846153846153846,0,1,1
6,2,1,11.0,8.333333333333334,0,2,2
6,3,1,15.64,9.84,0,3,3
6,4,1,49.0,11.615384615384615,0,4,4
6,5,1,7.285714285714286,11.928571428571429,0,5,5
6,6,1,67.5,11.416666666666666,0,6,6
6,7,1,64.27777777777777,13.11111111111111,0,7,7
6,8,1,83.03333333333333,13.433333333333334,0,8,8
6,9,1,28.526315789473685,16.263157894736842,0,9,9
6,10,1,53.77777777777778,23.5,0,10,10
6,11,1,19.85,25.15,0,11,11
6,12,1,37.30769230769231,25.0,0,12,12
6,13,1,41.45,25.95,0,13,13
6,14,1,85.44444444444444,28.666666666666668,0,14,14
6,15,1,61.40909090909091,28.181818181818183,0,15,15
6,16,1,28.5,35.0,0,16,16
6,17,1,33.689655172413794,36.241379310344826,0,17,17
6,18,1,67.38888888888889,38.27777777777778,0,18,18
6,19,1,79.7,38.35,0,19,19
6,20,1,5.928571428571429,39.142857142857146,0,20,20
6,21,1,91.32142857142857,40.107142857142854,0,21,21
6,22,1,40.608695652173914,45.26086956521739,0,22,22
6,23,1,14.212121212121213,47.21212121212121,0,23,23
