ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
2,9,20.86111111111111,22.38888888888889,0,9,9
2,10,40.5,21.5,0,10,10
2,11,52.666666666666664,24.214285714285715,0,11,11
2,12,79.0,24.5,0,12,12
2,13,7.138888888888889,25.38888888888889,0,13,13
2,14,67.47058823529412,28.5,0,14,14
2,15,31.210526315789473,29.105263157894736,0,15,15
2,16,46.483870967741936,33.645161290322584,0,16,16
2,17,83.84375,33.625,0,17,17
2,18,18.304347826086957,35.5,0,18,18
2,19,55.15625,37.375,0,19,19
2,20,71.72222222222223,40.77777777777778,0,20,20
2,21,50.214285714285715,42.5,0,21,21
2,22,61.0,48.0,0,22,22
2,23,91.81818181818181,48.96969696969697,0,23,23
2,24,73.70588235294117,51.5,0,24,24
2,25,39.21818181818182,63.58181818181818,0,25,25
2,26,86.21428571428571,68.5,0,26,26
2,27,56.705882352941174,73.5,0,27,27
2,28,16.15625,74.625,0,28,28
2,29,72.02702702702703,78.37837837837837,0,29,29
2,30,92.17241379310344,78.65517241379311,0,30,30
2,31,54.166666666666664,85.41666666666667,0,31,31
2,32,84.5,85.5,0,32,32
2,33,67.6,87.48571428571428,0,33,33
2,34,27.333333333333332,88.22222222222223,0,34,34
2,35,19.375,92.15625,0,35,35
3,1,33.5,5.5,0,1,1
3,2,9.6,6.9714285714285715,0,2,2
3,3,45.25925925925926,10.25925925925926,0,3,3
3,4,40.56666666666667,11.433333333333334,0,4,4
3,5,20.15625,12.625,0,5,5
3,6,35.72,13.48,0,6,6
3,7,72.63265306122449,13.387755102040817,0,7,7
3,8,11.538461538461538,18.564102564102566,0,8,8
3,9,42.1764705882353,22.176470588235293,0,9,9
3,10,80.55555555555556,22.955555555555556,0,10,10
3,11,24.285714285714285,27.452380952380953,0,11,11
3,12,62.15094339622642,29.264150943396228,0,12,12
3,13,40.486486486486484,34.5945945945946,0,13,13
3,14,29.35483870967742,36.74193548387097,0,14,14
3,15,85.36666666666666,37.36666666666667,0,15,15
3,16,10.057142857142857,38.114285714285714,0,16,16
3,17,18.633333333333333,37.63333333333333,0,17,17
3,18,25.483870967741936,47.354838709677416,0,18,18
3,19,91.92307692307692,47.82051282051282,0,19,19
3,20,41.861111111111114,50.388888888888886,0,20,20
3,21,66.2,50.5,0,21,21
3,22,13.823529411764707,53.8235294117647,0,22,22
3,23,33.0,55.0,0,23,23
3,24,24.694444444444443,58.97222222222222,0,24,24
3,25,28.392156862745097,71.86274509803921,0,25,25
3,26,67.5,71.5,0,26,26
3,27,44.05714285714286,74.65714285714286,0,27,27
3,28,51.319148936170215,75.34042553191489,0,28,28
3,29,6.068181818181818,78.63636363636364,0,29,29
3,30,90.50943396226415,78.41509433962264,0,30,30
3,31,36.84375,80.375,0,31,31
3,32,51.064516129032256,87.38709677419355,0,32,32
3,33,58.0,87.32608695652173,0,33,33
3,34,32.25806451612903,88.61290322580645,0,34,34
3,35,92.0,92.5,0,35,35
4,1,55.285714285714285,7.755102040816326,0,1,1
4,2,81.84210526315789,9.789473684210526,0,2,2
4,3,40.93023255813954,13.534883720930232,0,3,3
4,4,14.789473684210526,18.894736842105264,0,4,4
4,5,71.65,21.225,0,5,5
4,6,81.0,31.5,0,6,6
4,7,40.743589743589745,33.43589743589744,0,7,7
4,8,56.46153846153846,35.56410256410256,0,8,8
4,9,32.483870967741936,44.54838709677419,0,9,9
4,10,62.294117647058826,47.5,0,10,10
4,11,89.0,55.0,0,11,11
4,12,72.48484848484848,56.39393939393939,0,12,12
4,13,54.285714285714285,66.71428571428571,0,13,13
4,14,27.484848484848484,65.60606060606061,0,14,14
4,15,33.5,73.70588235294117,0,15,15
4,16,68.87179487179488,76.12820512820512,0,16,16
4,17,9.976190476190476,78.0952380952381,0,17,17
4,18,20.84375,82.625,0,18,18
4,19,51.3,84.275,0,19,19
4,20,20.625,91.84375,0,20,20
4,21,37.53846153846154,92.56410256410257,0,21,21
5,1,7.5,6.0,0,1,1
5,2,19.060606060606062,11.878787878787879,0,2,2
5,3,13.5,14.0,0,3,3
5,4,67.39393939393939,13.515151515151516,0,4,4
5,5,6.17948717948718,20.05128205128205,0,5,5
5,6,22.5,19.5,0,6,6
5,7,36.515151515151516,22.606060606060606,0,7,7
5,8,52.225,24.7,0,8,8
5,9,88.58536585365853,25.51219512195122,0,9,9
5,10,12.588235294117647,27.88235294117647,0,10,10
5,11,20.823529411764707,29.823529411764707,0,11,11
5,12,34.21052631578947,35.10526315789474,0,12,12
5,13,61.97727272727273,35.31818181818182,0,13,13
5,14,9.0,38.73529411764706,0,14,14
5,15,46.083333333333336,40.02777777777778,0,15,15
5,16,80.39473684210526,41.86842105263158,0,16,16
5,17,20.256410256410255,53.15384615384615,0,17,17
5,18,83.69444444444444,52.97222222222222,0,18,18
5,19,10.375,57.15625,0,19,19
5,20,48.48888888888889,62.6,0,20,20
5,21,16.885714285714286,67.68571428571428,0,21,21
5,22,39.0,68.5,0,22,22
5,23,58.5,69.29411764705883,0,23,23
5,24,28.485714285714284,71.4,0,24,24
5,25,72.11320754716981,72.90566037735849,0,25,25
5,26,51.34615384615385,77.34615384615384,0,26,26
5,27,19.225,79.925,0,27,27
5,28,44.02777777777778,82.08333333333333,0,28,28
5,29,33.0,83.0,0,29,29
5,30,80.21153846153847,83.63461538461539,0,30,30
5,31,10.0,86.17142857142858,0,31,31
5,32,58.278688524590166,86.04918032786885,0,32,32
5,33,70.26470588235294,89.0,0,33,33
5,34,33.15151515151515,92.27272727272727,0,34,34
5,35,43.705882352941174,91.5,0,35,35
6,1,33.370370370370374,6.0,0,1,1
6,2,9.703703703703704,7.666666666666667,0,2,2
6,3,14.666666666666666,9.547619047619047,0,3,3
6,4,6.15,11.3,0,4,4
6,5,48.15909090909091,11.409090909090908,0,5,5
6,6,64.36585365853658,12.658536585365853,0,6,6
6,7,82.13513513513513,13.297297297297296,0,7,7
6,8,27.930232558139537,16.0,0,8,8
6,9,53.0,23.5,0,9,9
6,10,19.176470588235293,25.176470588235293,0,10,10
6,11,38.698113207547166,25.37735849056604,0,11,11
6,12,60.583333333333336,28.555555555555557,0,12,12
6,13,84.25714285714285,28.885714285714286,0,13,13
6,14,33.12820512820513,36.12820512820513,0,14,14
6,15,66.5,38.5,0,15,15
6,16,78.86111111111111,38.388888888888886,0,16,16
6,17,4.777777777777778,39.0,0,17,17
6,18,39.73529411764706,45.0,0,18,18
6,19,13.326086956521738,47.0,0,19,19
6,20,74.82352941176471,48.8235294117647,0,20,20
6,21,39.5,55.5,0,21,21
6,22,87.21052631578948,60.89473684210526,0,22,22
